Site ID,Site Name ,Site Type ,X OS Grid Ref,Y OS Grid Ref. ,In AQMA?,Relevant Exposure? (Y/N with distance (m) to relevant exposure) ,Distance to kerb of nearest road (m) (N/A if not applicable),Data Capture (%) for year 2012,2008 Annual Mean Concentration (_g/m3) (Bias Adjustment Factor = 0.88) ,2009 Annual Mean Concentration (_g/m3) (Bias Adjustment Factor = 0.86) ,2010 Annual Mean Concentration (_g/m3) (Bias Adjustment Factor = 0.85) ,2011 Annual Mean Concentration (_g/m3) (Bias Adjustment Factor = 0.81) ,2012 Annual Mean Concentration (_g/m3) (Bias Adjustment Factor = 0.76) 
NORTH ,,,,,,,,,,,,,
29,Bernard Street/CA ,Roadside ,327148,676507,Yes ,Y facade ,2.2,100,45.3,45.1,43.7,38.9,37
29a ,Bernard Street/King Chambers ,Roadside ,327137,676529,Yes ,Y facade ,2.1,88,48,42,44.6,41.9,40
29b ,Bernard StreetNo 32 ,Roadside ,327192,676513,Yes ,Y facade ,2.2,100,41.3,32.9,36.9,32.7,33
29c ,Bernard Street/PS ,Roadside ,327135,676515,Yes ,Y facade ,2.1,92,53.4,48.2,49.4,44.6,44
7,Commercial Street No 11 ,Roadside ,327009,676565,Yes ,Y facade ,2.47,92,38.6,34.8,34.2,32.2,29
9,Commercial Street No 78 ,Roadside ,326879,676626,Yes ,Y facade ,2.6,100,40.4,31.6,36.7,31.2,35
9a ,Commercial St/Portland Place ,Roadside ,326430,676754,Yes ,Y (3.90) ,1.47,92,- ,- ,38.1,41,39
52,Ferry Road No 268 ,Roadside ,324946,676070,No ,Y (4.6) ,1.65,92,- ,32.1,32.4,32.5,34
53,Ferry Road/Bowhill Terrace No6 ,Roadside ,324726,676004,Yes ,Y (1.57) ,1.75 +2.85b ,100,- ,36.4,34.8,32.5,35
45b ,Ferry Road/Maderia Street ,Roadside ,326359,676420,No ,Y facade ,7.5,92,35.3,30.9,33.5,32.7,31
45,Ferry Road/North Fort Street ,Roadside ,326136,676361,No ,Y facade ,3.7,100,39.6,35.4,41.5,32.6,36
45d ,Ferry Road/North Junction St ,Roadside ,326503,674436,Yes ,Y facade ,3.1,92,42.4,40.9,38.3,39.6,37
30b ,Great Junction Street No137 ,Roadside ,326740,676138,Yes ,Y facade ,2.9,92,38.4,38.5,39.9,40,38
30c ,Great Junction Street No14 ,Roadside ,326925,675949,Yes ,Y facade ,2.8,92,50.2,42.6,44.1,38.4,38
30e ,Great Junction Street/CG ,Roadside ,326845,676015,Yes ,Y facade ,2.7,83,43.1,41.9,38.7,41.2,37
30,Great Junction Street/FV ,Roadside ,326884,675997,Yes ,Y facade ,2.8,96,44.6,44.1,41.8,39.1,38
30d ,Great Junction Street/WC ,Roadside ,326757,676144,Yes ,Y facade ,2.8,100,39,37.1,39.9,33.8,38
55,Inverleith Row/Ferry Road ,Roadside ,324638,675993,Yes ,Y facade ,4.65,100,- ,42.6,44,43.8,46
55c ,Inverleith Row/Montague ,Roadside ,324686,675941,Yes ,Y (1.06) ,2.28 + 2.0b ,100,- ,- ,- ,28.2,32
9b ,Ocean Drive/Leith ,Roadside ,326455,676805,No ,Y facade ,4.2,83,- ,- ,33,26.2,32
51c ,Salamander Street/Baltic Street ,Roadside ,327476,676418,No ,Y facade ,2.25,100,- ,37.1,36.2,38.5,35
51b ,Salamander Street/Bath Street ,Roadside ,327665,676331,No ,Y facade ,1.8,92,- ,37.4,40.3,37,38
14,Trinity Crescent ,Roadside ,324896,676991,No ,Y (4.0) ,2,100,28.3,28.6,27.5,28.9,28
EAST ,,,,,,,,,,,,,
19,Baileyfield Road ,Roadside ,329997,674274,No ,Y (3.5) ,2.0 + 2.1b ,100,24.6,22.5,27.5,24.3,22
31,Dalkeith Road No187 ,Roadside ,327231,671782,No ,Y (4.9) ,1.8,92,31.8,28.1,27.8,28,29
25,Easter Road/CH Shop ,Roadside ,326934,674503,Yes ,Y facade ,2.3,92,58.2,50.8,49.7,43.6,45
25b ,Easter Road/Rossie Place ,Roadside ,326950,674624,Yes ,Y facade ,3.3,100,44.9,38.8,39.1,35.8,35
25c ,Easter Road No105/109 ,Roadside ,326958,674770,Yes ,Y facade ,3.25,92,43.8,38,37.7,41,41
25d ,Easter Road/Bothwick ,Roadside ,326974,674780,Yes ,Y facade ,2.8,100,40.8,37.3,37.1,32.7,34
25e ,Easter Road No 198 ,Roadside ,326999,674940,Yes ,Y facade ,3.95,100,37.3,34.1,34.2,32,33
25f ,Easter Road No 271 ,Roadside ,327010,675149,No ,Y facade ,2.8,58,35,30.1,32.5,27.9,- 
25g ,Easter Road No 327 ,Roadside ,327071,675467,No ,Y facade ,3,75,33.4,27.9,30.3,26.8,28
81,London Rd/East Norton Place ,Roadside ,326980,674446,Yes ,Y facade ,2.5,100,- ,- ,- ,51.2,46
67,London Road/Earlston Place ,Roadside ,327190,674433,Yes ,Y facade ,2.7,100,- ,47.9,51.3,45.5,46
68,Parsons Green Terrace ,Roadside ,328049,674174,Yes ,Y facade ,2.7,92,- ,30.4,36.6,31.5,33
69,London Road/Wolseley Place ,Roadside ,328272,674143,Yes ,Y facade ,2.62,82,- ,56.2,50.6,50.4,42
70,London Road/Wolseley Terrace ,Roadside ,328337,674129,Yes ,Y facade ,4.6,92,- ,47.3,46.1,42.4,41
66,London Road/Cadzow Place ,Roadside ,327468,674362,Yes ,Y facade ,2.04 + 2.0b ,100,- ,43,40.5,- ,36
46,London Road/Easter Road ,Roadside ,326944,674472,Yes ,Y facade ,5.6,100,52.3,43.4,46.2,40.4,41
32,Niddrie Mains Road No 28 ,Kerbside ,328889,671649,No ,Y (4.7) ,0.2 + 2.4b ,100,26.9,30.7,32.5,30.9,30
82,Piersfield Terrace ,Roadside ,328771,674190,No ,Y facade ,4.0 + 2.1b ,100,- ,- ,- ,27.8,28
73b ,Portobello High Street No 23 ,Roadside ,330242,674162,No ,Y facade ,3.8,100,- ,- ,- ,31.2,28
73c ,Portobello High Street No 292 ,Roadside ,330830,673726,No ,Y facade ,2.3,100,- ,- ,- ,22.9,24
73,Portobello High Street No 74 ,Roadside ,330366,674057,No ,Y facade ,3.1,92,- ,26.3,25.5,26.3,25
71,Portobello High StreetNo185 ,Roadside ,330533,673850,No ,Y facade ,3,83,- ,43,39.2,36,33
73a ,Portobello Road/Ramsay ,Roadside ,329923,674389,No ,Y (1.98) ,2.8,100,- ,- ,- ,41.6,37
72,Seafield Road East No10 ,Roadside ,329993,674457,No ,Y facade ,4.5,100,- ,35,38.4,33.1,37
CITY CENTRE NORTH ,,,,,,,,,,,,,
43,Broughton Road ,Roadside ,325513,675134,No ,Y facade ,2,100,40.4,38.1,39.8,34.6,37
44,Broughton Street ,Roadside ,325855,674527,No ,Y facade ,4.5,100,37.7,35.1,35.3,32.8,34
13,Deanhaugh Street ,Kerbside ,324603,674555,No ,Y (5.1) ,0.6 + 2.1b ,92,32.3,30.1,33,33.5,32
35,Dundas Street ,Kerbside ,325243,674400,No ,Y (7.3) ,0.3 + 2.1b ,100,28.9,27.2,31.6,30.6,31
74f ,George Street No 112 ,Roadside ,324880,673891,Yes ,Y facade ,6.8,92,- ,- ,43.4,44.7,47
74c ,George Street No 41 ,Roadside ,325273,674030,Yes ,Y (4.3) ,0.54,67,- ,- ,39.5,41.1,56
74e ,George Street/Charlotte Sq ,Kerbside ,324783,673868,Yes ,Y (5.2) ,0.3,75,- ,- ,42.6,42.5,43
75c ,Great Stuart Street No18 ,Kerbside ,324473,673920,No ,Y (6.9) ,0.36 + 2.4b ,100,- ,- ,- ,32.4,32
75b ,Great Stuart Street No 7 ,Kerbside ,324488,673978,No ,Y (6.14) ,0.4 + 2.1b ,100,- ,- ,36.2,33.4,31
34,India Street ,Background ,324790,674341,No ,N ,0.4 + 2.1b ,100,22.7,22.6,22.7,23.6,23
55b ,Inverleith Row/Summer Place ,Roadside ,325052,675217,No ,Y facade ,6.1,92,- ,- ,- ,33.7,32
21,Leith Walk/Brunswick Road ,Roadside ,326386,674872,Yes ,Y (3.4) ,1.16,83,37.3,35.3,35.4,34.2,36
20,Leith Walk/McDonald Roada ,Kerbside ,326361,674882,Yes ,Y facade ,5.6,100,53.1,36.8,38.1,N/A ,37
47,Princes Street (Eastbound) ,Roadside ,325049,673791,Yes ,Y facade ,9,100,51.7 (64)a ,31.6 (34)a ,47.5 (58)a ,38.9 (45.3)a ,34(45) a 
24,Princes Street/Mound ,Kerbside ,325397,673869,Yes ,Y (10.2) ,1,92,51.5,36.2,49.3,N/A ,38
33,Queen Street/Hanover Street a ,Roadside ,325362,674205,Yes ,Y (4.25) ,2.2 + 2.0 b ,67,43.7,50.8,56.3,50,49
75a ,St Colme Street ,Kerbside ,324624,674012,No ,Y (5.1) ,0.6,48,- ,- ,38.5,36.5,38
36,York Place ,Roadside ,325828,674362,Yes ,Y (2.7) ,5.5,83,40.5,37.5,39,35.4,41
CITY CENTRE SOUTH ,,,,,,,,,,,,,
138,Clerk Street No 15 ,Roadside ,326229,672287,No ,Y facade ,2.35 +2 b ,67,- ,- ,- ,- ,40
48,Cowgate/Gurthrie Street ,Roadside ,325881,673471,Yes ,Y facade ,4.5,92,46.6,39.8,46.2,40.2,40
48a ,Cowgate/Blair St ,Roadside ,325929,673490,Yes ,Y facade ,3.2,100,- ,- ,37.7,31.4,40
48B ,CowgateNo 301 ,Roadside ,326132,673519,Yes ,Y facade ,3.8 +2 b ,83,- ,- ,- ,- ,33
48C ,Cowgate Blackfriars ,Roadside ,326047,673519,Yes ,Y facade ,2.4,67,- ,- ,- ,- ,43
79A ,FountainbridgeNo103 ,Roadside ,324731,672984,No ,Y facade ,2.2,83,- ,- ,- ,- ,39
79B ,Fountainbridge/Grove Street ,Roadside ,324438,672859,No ,Y facade ,2.2,75,- ,- ,- ,- ,32
79,Fountainbridge/Tollcross ,Roadside ,324682,672939,No ,Y facade ,3.3,100,- ,- ,42,36.3,37
37,Grassmarket/PS ,Roadside ,325427,673371,Yes ,Y (5.0) ,2.0 + 2.1b ,83,35.1,35.4,38.4,32.5,35
37a ,GrassmarketNo 41 ,Roadside ,325401,673340,Yes ,Y facade ,3.4,83,42.3,40.5,60,42,43
37b ,GrassmarketNo 75 ,Roadside ,325471,673369,Yes ,Y facade ,5,75,- ,- ,- ,37.1,39
37C ,Grassmarket/Thompsons Court ,Background ,325397,673377,Yes ,Y facade ,21 + 2.1 b ,92,- ,- ,- ,- ,30
10,Home Street ,Roadside ,324905,672893,No ,Y facade ,2.8,75,37.4,32.3,36.5,25.7,33
17a ,Hope Park Terrace/VS ,Roadside ,326312,672614,No ,Y facade ,5,83,- ,38.8,43.4,37.4,39
139,Hope Park Terrace No 5 ,Roadside ,326244,672581,No ,Y facade ,4.9,100,- ,- ,- ,- ,34
140,Hope Park Terrace/Clerk Street ,Roadside ,326323,672596,No ,Y (3.5) ,1.3,92,- ,- ,- ,- ,35
38,Melville Drive ,Roadside ,325141,672733,No ,Y (10.0) ,2.8,92,26.2,25.3,27.6,27.3,29
42,Midmar Drive ,Background ,325105,670511,No ,N ,1.4,100,17.4,15.2,18.4,16.1,18
8,Morningside Road ,Kerbside ,324538,671166,No ,Y (2.8) ,0.7,75,30,27.1,28.8,28.6,26
49,Morrison Street ,Roadside ,324167,673249,Yes ,Y (2.4) ,2.2,100,61.4,44.6,49.3,48.5,46
137,Nicolson Street No 124 ,Roadside ,326181,672971,No ,Y facade ,3.4 + 2 b ,92,- ,- ,- ,- ,41
135,Nicolson Street No 69 ,Roadside ,326112,673115,No ,Y facade ,3 + 2 ,100,- ,- ,- ,- ,50
136,Nicolson Street No 92 ,Roadside ,326164,673054,No ,Y facade ,3.74 + 2 b ,92,- ,- ,- ,- ,42
27,North Bridge _ South ,Roadside ,325944,673670,Yes ,Y facade ,3.5,100,52.3,48.4,49.4,48.7,52
142,South Clerk Street No 41a ,Roadside ,326367,672554,No ,Y facade ,1.96 + 2 b ,92,- ,- ,- ,- ,42
141,South Clerk Street No 84 ,Roadside ,326383,672472,No ,Y facade ,2.57 + 2 b ,92,- ,- ,- ,- ,44
3,Torphichen Place ,Roadside ,324260,673270,Yes ,Y (1.55) ,0.73,92,58.2,26.3,55.6,55.1,48
2,West Maitland Street ,Kerbside ,324192,673332,Yes ,Y (4.2) ,0.65,100,70.1,45.6,52.4,55.3,40
28,West Port/Grassmarket ,Roadside ,325221,673263,Yes ,Y facade ,1.9,42,53.3,47.7,51,43.5,- 
28b ,West Port No 62 ,Roadside ,325166,673242,Yes ,Y facade ,1.4,83,72.5,66.7,62.4,57,61
28c ,West Port OppNo 50 ,Roadside ,325184,673261,Yes ,Y facade ,3,58,51.5,43.5,41.5,39,- 
28d ,West Port No 42 ,Roadside ,325203,673250,Yes ,Y facade ,2.7,92,66.6,60.2,54.9,55.2,60
WEST ,,,,,,,,,,,,,
56,Glasgow Road /Drumbrae ,Roadside ,319212,672921,No ,Y (4.6) ,0.57 + 2.0bc ,100,- ,28.6,30.7,29.5,31
57,Glasgow Road No158 ,Roadside ,318185,672756,No ,Y (8.5) ,3.6,100,- ,34.9,36.3,36.5,36
16,Glasgow Road No 68 ,Roadside ,313028,672633,Yes ,Y (4.4) ,1.8,100,42.4,46.8,44.5,43.8,47
15,Glasgow Road Newbridge ,Roadside ,312664,672672,Yes ,Y (3.8)c ,1.6 + 2.4 bc ,100,35.7,42,37.6,40.9,40
58,Glasgow Road Newbridge ,Roadside ,312693,672670,Yes ,Y (5.2)c ,2.8,96,- ,51.1,51.3,51.5,48
40F ,Hillhouse Road No 118 ,Roadside ,322478,674406,No ,Y (2.57) ,2.6,100,- ,- ,- ,- ,35
40C ,Hillhouse Road No240 ,Roadside ,322082,674543,No ,Yfacade ,3.2,100,- ,- ,- ,- ,30
40A ,Hillhouse Road/Telford Road ,Roadside ,321526,674945,No ,Y facade ,4.5 + 7b ,100,- ,- ,- ,- ,28
40B ,Hillhouse/Craigcrook Terrace ,Roadside ,321990,674586,No ,Y (4.9) ,2.1,100,- ,- ,- ,- ,26
40E ,Hillhouse/Marischall PlaceNo1 ,Roadside ,322153,674470,No ,Y facade ,2.8,83,- ,- ,- ,- ,28
40D ,Hillhouse/Marischall Place No 4 ,Roadside ,322123,674492,No ,Y facade ,3.1,83,- ,- ,- ,- ,32
41,Hillview Terrace ,Background ,320081,673232,No ,N ,1,100,19.6,21.2,22.4,18.4,21
61,Maybury Road/Barnton ,Roadside ,318612,674924,No ,Y (12.5) ,2.8,100,- ,24.2,27,25.8,16
40,Queensferry Rd/Hillhouse Rd ,Roadside ,322144,674497,No ,Y facade ,2.0 + 2b ,100,44.4,37.4,42.4,34.2,40
62,Queensferry Road No 561 ,Roadside ,318810,674903,No ,Y facade ,16.9,100,- ,22,25.6,19.2,25
63,Queensferry Road No 544 ,Roadside ,318723,674963,No ,Y facade ,13.6,100,- ,27.6,29.4,25.2,26
64,Queensferry Road No 550 ,Roadside ,318698,674955,No ,Y (9.2) ,1.49,100,- ,46.8,47.5,43.9,50
64A ,Queensferry RoadNo 552 ,Roadside ,318698,674964,No ,Y facade ,10.5,42,- ,- ,- ,- ,30
23,Roseburn Terrace ,Kerbside ,323007,673198,Yes ,Y (2.3) ,0.23,75,49.5,37.2,43.2,34.5,38
1,St JohnÍs Road SB ,Kerbside ,320122,672917,Yes ,Y (1.8) ,0.54,92,41.2,36.7,38.6,35.1,38
1b ,St JohnÍs Road IR ,Roadside ,320154,672911,Yes ,Y facade ,2,100,48.8,44.2,43.5,38.4,44
1d ,St JohnÍs Road No 131 ,Roadside ,320096,672907,Yes ,Y facade ,2.1,100,84.9,57.8,58.8,56.3,52
39,St JohnÍs Roada ,Roadside ,319651,672995,Yes ,Y (4.15) ,1.56,92,31.7,28.2,31.1,30,32
50a ,Whitehouse Rd/Barnton Grove ,Roadside ,318571,675028,No ,Y (1.57) ,3.5,67,31.4,29.8,32.1,27.8,32
