Files,Contact,Client,Site,Student,Status,Time,Money,Other,Academic,Accommodation,Completed
Existing,Email,GS Student,Potterow,UG,Home,01/08/2012 09:00:03,,,Misconduct;,,FALSE
Existing,Email,GS Student,Potterow,UG,EU,01/08/2012 00:00:00,,,Misconduct;,,FALSE
Existing,Email,KB Student,Potterow,UG,Int'l,01/08/2012 00:00:00,,,Academic Appeal;,,FALSE
New,Phone,GS Student,Potterow,UG,Home,01/08/2012 09:39:45,,,Special Circumstances;,,FALSE
New,Phone,Staff,Potterow,,,01/08/2012 00:00:00,,,Special Circumstances;,,FALSE
New,Visit,Unknown,Potterow,,Home,01/08/2012 10:19:58,,C Card;,,,TRUE
Existing,Phone,Little France,Potterow,Research,Int'l,01/08/2012 10:30:36,,,Progression;,,FALSE
New,Email,GS Student,Potterow,UG,Home,01/08/2012 00:00:00,,,Special Circumstances;,,FALSE
New,Email,GS Student,Potterow,UG,Home,01/08/2012 00:00:00,,,Complaint;,,FALSE
Existing,Email,,Potterow,,Int'l,01/08/2012 10:35:00,,,,Accom;,FALSE
New,Email,Little France,Potterow,UG,Home,01/08/2012 00:00:00,Discretionary Fund;Funding;,,,,FALSE
New,Visit,Unknown,Potterow,,Int'l,01/08/2012 00:00:00,,,,Tenancy;,FALSE
New,Visit,Little France,Potterow,UG,Home,01/08/2012 00:00:00,Discretionary Fund;,,,,TRUE
New,Visit,GS Student,Potterow,UG,Home,01/08/2012 00:00:00,,,Academic Appeal;,,FALSE
Existing,Visit,Unknown,Potterow,,Home,01/08/2012 11:04:43,,C Card;,,,TRUE
New,Visit,Unknown,Potterow,UG,Home,01/08/2012 00:00:00,SAAS/SFE;,,,,TRUE
Existing,Email,GS Student,Potterow,UG,Int'l,01/08/2012 00:00:00,,,Complaint;,,FALSE
Existing,Visit,Little France,Potterow,Research,EU,01/08/2012 00:00:00,,,Complaint;,,FALSE
,Visit,Staff,Potterow,,,01/08/2012 00:00:00,,,Complaint;,,FALSE
New,Visit,,Potterow,,EU,01/08/2012 14:54:21,,,,Accom;,FALSE
New,Visit,Unknown,Potterow,UG,EU,01/08/2012 15:06:05,,,,Council Tax;,TRUE
Existing,Visit,,Potterow,,Home,01/08/2012 00:00:00,,C Card;,,,FALSE
New,Visit,,Potterow,,Int'l,01/08/2012 00:00:00,,C Card;,,,FALSE
Existing,Email,Little France,Potterow,Research,Int'l,01/08/2012 15:34:16,,Harrassment;,,,FALSE
New,Email,KB Student,Potterow,PG Taught,Home,01/08/2012 00:00:00,Funding;,,,,FALSE
New,Visit,GS Student,Potterow,PG Taught,Int'l,01/08/2012 00:00:00,,,Other;,,FALSE
New,Phone,,Potterow,UG,Home,01/08/2012 00:00:00,,Uni Info;,,,FALSE
Existing,Visit,Little France,Potterow,Research,Int'l,01/08/2012 00:00:00,,Harrassment;,,,FALSE
Existing,Visit,,Potterow,PG Taught,EU,01/08/2012 00:00:00,,,,Accom;,FALSE
New,Visit,,Potterow,UG,Home,01/08/2012 00:00:00,Fees;Childcare;,,,,TRUE
Existing,Email,KB Student,Potterow,PG Taught,Int'l,02/08/2012 08:33:52,,,Academic Appeal;,,FALSE
Existing,Email,GS Student,Potterow,UG,EU,02/08/2012 00:00:00,,,Misconduct;,,FALSE
Existing,Email,GS Student,Potterow,UG,Int'l,02/08/2012 00:00:00,,,Academic Appeal;,,FALSE
,Email,Non-student,Potterow,,,02/08/2012 00:00:00,,,Other;,,FALSE
New,Email,,Potterow,,Int'l,01/08/2012 00:00:00,,,,Accom;,FALSE
Existing,Email,,Potterow,UG,Home,02/08/2012 00:00:00,Small Loans;,,,,FALSE
Existing,Email,,Potterow,UG,Home,02/08/2012 00:00:00,Funding;,,,,FALSE
Existing,Email,KB Student,Potterow,PG Taught,Int'l,02/08/2012 00:00:00,,,Academic Appeal;,,FALSE
Existing,Email,KB Student,Potterow,UG,Int'l,02/08/2012 00:00:00,,,Progression;,,FALSE
New,Visit,,Potterow,,Int'l,02/08/2012 10:44:07,Fees;,,,Accom;,TRUE
New,Visit,,Potterow,PG Taught,Home,02/08/2012 00:00:00,Discretionary Fund;Small Loans;Funding;,,,,TRUE
Existing,Email,GS Student,Potterow,Research,Home,02/08/2012 11:06:17,,,Complaint (Academic) ;,,FALSE
Existing,Email,Staff,Potterow,,,02/08/2012 11:38:11,,,Special Circumstances;,,FALSE
Existing,Phone,Staff,Potterow,,,02/08/2012 00:00:00,,,Special Circumstances;,,FALSE
New,Email,Staff,Potterow,,,02/08/2012 00:00:00,,,Complaint (Academic) ;,,FALSE
Existing,Visit,,Potterow,,Home,02/08/2012 00:00:00,,C Card;,,,FALSE
New,Visit,,Potterow,,Home,02/08/2012 00:00:00,,C Card;,,,FALSE
,Email,Non-student,Potterow,,,02/08/2012 00:00:00,,,Other;,,FALSE
Existing,Visit,,Potterow,,,02/08/2012 00:00:00,,C Card;,,,FALSE
New,Social Networks,,Potterow,,,02/08/2012 00:00:00,,,,Accom;,TRUE
Existing,Visit,,Potterow,,,02/08/2012 00:00:00,,C Card;,,,FALSE
New,Visit,Unknown,Potterow,,Int'l,02/08/2012 15:05:08,Fees;,,,,FALSE
New,Visit,GS Student,Potterow,PG Taught,EU,02/08/2012 16:06:02,,Banks;,,,FALSE
Existing,Email,KB Student,Potterow,UG,Int'l,03/08/2012 08:43:27,,,Progression;,,FALSE
Existing,Email,GS Student,Potterow,UG,Home,03/08/2012 00:00:00,,,Academic Appeal;,,FALSE
Existing,Phone,GS Student,Potterow,UG,Home,03/08/2012 09:44:42,,,Special Circumstances;,,FALSE
New,Visit,Unknown,Potterow,UG,Home,03/08/2012 10:41:35,,C Card;,,,TRUE
New,Visit,GS Student,Potterow,UG,Int'l,03/08/2012 09:43:12,,,Academic Appeal;,,FALSE
Existing,Email,Little France,Potterow,Research,Int'l,03/08/2012 10:56:01,,Harrassment;,,,FALSE
Existing,Email,Staff,Potterow,,,03/08/2012 00:00:00,,Harrassment;,,,FALSE
New,Email,,Potterow,UG,Home,03/08/2012 10:57:57,SAAS/SFE;,,,,FALSE
New,Email,Non-student,Potterow,,Int'l,03/08/2012 00:00:00,,Uni Info;,,,FALSE
New,Email,GS Student,Potterow,UG,Home,03/08/2012 00:00:00,,,Other;,,FALSE
New,Visit,H'Rood Student,Potterow,,Int'l,03/08/2012 00:00:00,,,,Accom;,FALSE
Existing,Email,KB Student,Potterow,UG,EU,03/08/2012 00:00:00,,,Academic Appeal;,,FALSE
New,,,Potterow,,Int'l,03/08/2012 00:00:00,,Uni Info;Immigration;,,,TRUE
New,Visit,GS Student,Potterow,PG Taught,EU,03/08/2012 00:00:00,Fees;,Health;,,Council Tax;Tenancy;,TRUE
New,Phone,Unknown,Potterow,Research,Home,03/08/2012 00:00:00,Benefits;,,,,FALSE
Existing,Visit,Unknown,Potterow,,,03/08/2012 00:00:00,,C Card;,,,TRUE
New,Phone,Unknown,Potterow,UG,Home,03/08/2012 00:00:00,Discretionary Fund;Small Loans;,,,,FALSE
Existing,Visit,Unknown,Potterow,,,03/08/2012 12:12:57,,C Card;,,,TRUE
Existing,Visit,,Potterow,,,03/08/2012 14:47:09,,C Card;,,,FALSE
Existing,Visit,,Potterow,,,03/08/2012 14:47:09,,C Card;,,,FALSE
New,Email,Staff,Potterow,,,03/08/2012 00:00:00,,,Progression;,,FALSE
New,Visit,,Potterow,UG,Home,03/08/2012 00:00:00,,Uni Info;,,,FALSE
Existing,Phone,Staff,Potterow,,,03/08/2012 00:00:00,,,Progression;,,FALSE
Existing,Visit,,Potterow,,Home,03/08/2012 00:00:00,,C Card;,,,FALSE
New,Visit,,Potterow,UG,Home,03/08/2012 00:00:00,SAAS/SFE;Funding;,,,,FALSE
New,Phone,Non-student,Potterow,,Home,03/08/2012 16:42:19,Small Loans;,,,,FALSE
Existing,Email,Little France,Potterow,Research,EU,06/08/2012 09:13:08,,,Complaint (Academic) ;,,FALSE
Existing,Email,GS Student,Potterow,UG,Home,06/08/2012 00:00:00,,,Special Circumstances;,,FALSE
Existing,Email,H'Rood Student,Potterow,Research,EU,06/08/2012 08:48:56,,,Complaint (Academic) ;,,FALSE
Existing,Email,KB Student,Potterow,UG,Int'l,06/08/2012 00:00:00,,,Progression;,,FALSE
New,Social Networks,,Potterow,,Int'l,06/08/2012 09:59:43,,,,Accom;,FALSE
New,Email,Staff,Potterow,,,06/08/2012 00:00:00,,,Progression;,,FALSE
New,Visit,Non-student,Potterow,,Home,06/08/2012 10:15:40,,Uni Info;Health;,,,TRUE
New,Email,Unknown,Potterow,,EU,06/08/2012 00:00:00,,,,Accom;,TRUE
New,Email,Unknown,Potterow,,Int'l,06/08/2012 00:00:00,,Health;,,,TRUE
New,Email,Unknown,Potterow,,EU,06/08/2012 00:00:00,,,,Accom;,TRUE
New,Phone,Unknown,Potterow,UG,Home,06/08/2012 00:00:00,Discretionary Fund;Small Loans;,,,,FALSE
New,Email,Unknown,Potterow,UG,EU,06/08/2012 00:00:00,,Tax/NI;,,,TRUE
New,Visit,GS Student,Potterow,UG,Home,06/08/2012 00:00:00,Fees;Funding;,,,,FALSE
New,Phone,Non-student,Potterow,,EU,06/08/2012 00:00:00,Fees;,Uni Info;,Interruption of Studies;,,TRUE
Existing,Visit,,Potterow,UG,Home,06/08/2012 00:00:00,Fees;Funding;,,,,TRUE
Existing,Email,,Potterow,,EU,06/08/2012 00:00:00,,Health;,,,TRUE
New,Visit,Unknown,Potterow,UG,Home,06/08/2012 00:00:00,,,,Accom;,TRUE
New,Visit,Unknown,Potterow,UG,Home,06/08/2012 00:00:00,Discretionary Fund;Small Loans;,,,,TRUE
New,Visit,Non-student,Potterow,,Home,06/08/2012 00:00:00,Fees;,Consumer;,,,TRUE
New,Email,Non-student,Potterow,,EU,06/08/2012 00:00:00,,EUSA/TAP info ;,,,TRUE
Existing,Email,Unknown,Potterow,UG,EU,06/08/2012 00:00:00,,Health;,,,TRUE
Existing,Visit,Little France,Potterow,Research,Int'l,06/08/2012 09:33:15,,,Complaint (Academic) ;,,FALSE
Existing,Email,KB Student,Potterow,PG Taught,Int'l,06/08/2012 00:00:00,,,Academic Appeal;,,FALSE
Existing,Email,GS Student,Potterow,Research,Home,06/08/2012 00:00:00,,,Complaint (Academic) ;,,FALSE
Existing,Email,KB Student,Potterow,UG,Int'l,06/08/2012 00:00:00,,,Academic Appeal;,,FALSE
Existing,Email,H'Rood Student,Potterow,PG Taught,EU,06/08/2012 15:10:48,,Complaints;Harrassment;,,,FALSE
New,Outreach,Easter Bush,Potterow,UG,Int'l,06/08/2012 00:00:00,,,,Council Tax;,TRUE
New,Outreach,Easter Bush,Potterow,UG,Int'l,06/08/2012 00:00:00,,,,Council Tax;,TRUE
New,Outreach,Easter Bush,Potterow,UG,Int'l,06/08/2012 00:00:00,,,,Council Tax;,TRUE
New,Outreach,Easter Bush,Potterow,UG,Int'l,06/08/2012 00:00:00,,,,Council Tax;,TRUE
New,Outreach,Easter Bush,Potterow,UG,Int'l,06/08/2012 00:00:00,,,,Council Tax;,TRUE
New,Outreach,Easter Bush,Potterow,UG,Int'l,06/08/2012 00:00:00,,,,Council Tax;,TRUE
New,Outreach,Easter Bush,Potterow,UG,Int'l,06/08/2012 00:00:00,,,,Council Tax;,TRUE
New,Outreach,Easter Bush,Potterow,UG,Int'l,06/08/2012 00:00:00,,,,Council Tax;,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
New,Outreach,Easter Bush,Potterow,UG,,06/08/2012 00:00:00,,Health;,,,TRUE
